dialect,text,prediction,probability
AAE,Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-,0,0.1651669009014524
AAE,this lil girl aint going to win im the king of thisshe better fall back ....,0,0.18540607133333384
AAE,He up stairs rights now and I'm down here getting ready its aboutto go down nite nite,0,0.24657704965510355
AAE,Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAROR MOVE THE FUCK AROUND,1,0.9959292835362652
AAE,It's very rare that I get what I want. Now that it has happened I don't plan onloosing it no matter what,0,0.044862024586847724
AAE,Shout out to nestboy vick he cold n that rapping sht keep drop.nthem tracks im one em,1,0.515874213240281
AAE,Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:4 Stl: 2 Blk: 3,0,0.016304159102561774
AAE,"Boy you can say anything you wanna I don't give a shit, noone else can have ya",1,0.9992142267457749
AAE,3:05 when that bell ring I'm hunging my bae and running out of PSM by 3:45 I should be at housethen it's turn up time!,0,0.13811583348725104
AAE,Wen u kall a nigga fone n he dont answer dat mean he nevagave a fuck about it,0,0.1051262970954411
AAE,I aint tryna see no twerk videos on my TL kuz yallhoes kant twerk fo nun,0,0.11900873900401591
AAE,that was suppose to be a tweet lol I don't how the hell I dm thatto you my bad lol,1,0.6234308114287154
AAE,This group of 5 year olds just tried to holla at me! Lol when I told them how oldI was they scattered lol,0,0.13920537355296733
AAE,"Anybody else got one of those TV's where every movie looks super fake? They made these TV's toogood"" mine is like that",0,0.2479742615927892
AAE,who made amy dress for the finale the red one atthe end please tell me,0,0.09500103542851447
AAE,Old niggas are foul . This nigga just kiss a stripperlike it was his wife,1,0.9828299603593592
AAE,That kid is GOOD. saw him vs NYR. I'll tell ya as a ranger fan I'm not too excited about seeing himfor the next 10 years.,0,0.03829582486606249
AAE,My onli wish my nigga keith was here to kill shyt I been on some fuckthe world shyt lately nbs,1,0.7719073116054912
AAE,"I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE",0,0.22279695505236996
AAE,There is nothing so pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou S,0,0.2338081808294011
AAE,I'm Single And Ready To Mingle But At The Same TimeI'm Ready To Settle Down,0,0.07306778181814938
